pir_reading_id,device_id,motion,flag,measured_at,received_at,raw_payload
26564,3,False,ok,2026-09-03T14:14:12.898658+00:00,2026-09-03T14:14:13.084621+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26565,3,False,ok,2026-09-03T14:14:13.910698+00:00,2026-09-03T14:14:14.104987+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26566,3,True,ok,2026-09-03T14:14:14.923057+00:00,2026-09-03T14:14:15.060481+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26567,3,False,ok,2026-09-03T14:14:15.934586+00:00,2026-09-03T14:14:16.029580+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26568,3,False,ok,2026-09-03T14:14:16.946929+00:00,2026-09-03T14:14:17.024670+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26569,3,False,ok,2026-09-03T14:14:17.958586+00:00,2026-09-03T14:14:18.115532+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26570,3,False,ok,2026-09-03T14:14:18.970742+00:00,2026-09-03T14:14:19.120015+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26571,3,False,ok,2026-09-03T14:14:19.982575+00:00,2026-09-03T14:14:20.116564+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26572,3,False,ok,2026-09-03T14:14:21.022857+00:00,2026-09-03T14:14:21.254656+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26573,3,False,ok,2026-09-03T14:14:22.006556+00:00,2026-09-03T14:14:22.106308+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26574,3,True,ok,2026-09-03T14:14:23.018669+00:00,2026-09-03T14:14:23.170426+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 1, ""pir_seat"": -1}"
26575,3,False,ok,2026-09-03T14:14:24.030582+00:00,2026-09-03T14:14:24.230952+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26576,3,False,ok,2026-09-03T14:14:25.046627+00:00,2026-09-03T14:14:25.250879+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
26577,3,False,ok,2026-09-03T14:14:26.054765+00:00,2026-09-03T14:14:26.181087+00:00,"{""door_main"": 0, ""door_sub"": 1, ""node"": ""occ_01"", ""pir_door"": 0, ""pir_seat"": -1}"
